ts_code,symbol,name,enname,aliases
7203.T,7203.T,丰田汽车,Toyota Motor Corporation,Toyota|Toyota Motor|丰田|トヨタ
6758.T,6758.T,索尼集团,Sony Group Corporation,Sony|Sony Group|索尼|ソニー
9984.T,9984.T,软银集团,SoftBank Group Corp.,SoftBank|SoftBank Group|软银|ソフトバンク
8306.T,8306.T,三菱日联金融集团,Mitsubishi UFJ Financial Group,MUFG|Mitsubishi UFJ|三菱日联|三菱UFJ
6861.T,6861.T,基恩士,Keyence Corporation,Keyence|キーエンス
6501.T,6501.T,日立,Hitachi Ltd.,Hitachi|日立制作所|日立製作所
7974.T,7974.T,任天堂,Nintendo Co. Ltd.,Nintendo|任天堂
8035.T,8035.T,东京电子,Tokyo Electron Limited,Tokyo Electron|東京エレクトロン
9432.T,9432.T,日本电信电话,Nippon Telegraph and Telephone Corporation,NTT|Nippon Telegraph and Telephone|日本电信电话
9983.T,9983.T,迅销,Fast Retailing Co. Ltd.,Fast Retailing|Uniqlo|优衣库|迅销
