ts_code,symbol,name,enname,aliases
005930.KS,005930.KS,三星电子,Samsung Electronics Co. Ltd.,Samsung|Samsung Electronics|三星|삼성전자
000660.KS,000660.KS,SK海力士,SK hynix Inc.,SK Hynix|海力士|하이닉스
373220.KS,373220.KS,LG新能源,LG Energy Solution Ltd.,LG Energy Solution|LGES|LG新能源
005380.KS,005380.KS,现代汽车,Hyundai Motor Company,Hyundai|Hyundai Motor|现代|현대차
035420.KS,035420.KS,NAVER,NAVER Corporation,Naver|NAVER|네이버
051910.KS,051910.KS,LG化学,LG Chem Ltd.,LG Chem|LG化学
006400.KS,006400.KS,三星SDI,Samsung SDI Co. Ltd.,Samsung SDI|三星SDI
035720.KQ,035720.KQ,Kakao,Kakao Corp.,Kakao|可可|카카오
247540.KQ,247540.KQ,Ecopro BM,Ecopro BM Co. Ltd.,Ecopro BM|ECOPRO BM|에코프로비엠
091990.KQ,091990.KQ,赛尔群医疗,Celltrion Healthcare Co. Ltd.,Celltrion Healthcare|Celltrion|셀트리온헬스케어
